Date,newInfections
2020-01-07,0
2020-01-14,0
2020-01-21,0
2020-01-28,5
2020-02-04,7
2020-02-11,3
2020-02-18,0
2020-02-25,7
2020-03-03,16
2020-03-10,65
2020-03-17,334
2020-03-24,1680
2020-03-31,2425
2020-04-07,1366
2020-04-14,612
2020-04-21,298
2020-04-28,83
2020-05-05,121
2020-05-12,115
2020-05-19,95
2020-05-26,60
2020-06-02,89
2020-06-09,45
2020-06-16,83
2020-06-23,145
2020-06-30,344
2020-07-07,715
2020-07-14,1467
2020-07-21,2151
2020-07-28,2802
2020-08-04,3297
2020-08-11,3105
2020-08-18,2139
2020-08-25,1292
2020-09-01,785
2020-09-08,569
2020-09-15,365
2020-09-22,223
2020-09-29,119
2020-10-06,108
2020-10-13,149
2020-10-20,118
2020-10-27,113
2020-11-03,69
2020-11-10,69
2020-11-17,77
2020-11-24,92
2020-12-01,62
2020-12-08,75
2020-12-15,62
2020-12-22,171
2020-12-29,126
